azi,test_azi,ele,test_ele,subject_id,hrtf,audio
65,64.42969411622732,73.125,58.66447069976758,.\AssetsSubject1,est,noise.txt
0,4.588511383394983,-16.875,-12.369356347146857,.\AssetsSubject1,est,noise.txt
45,62.190819241778485,0,0.6662843867386993,.\AssetsSubject1,est,speech.txt
0,12.913515752116199,-16.875,-11.427367790319844,.\AssetsSubject1,est,speech.txt
0,4.419550700677442,-16.875,-11.614517287735652,.\AssetsSubject1,est,speech.txt
65,70.74087384051839,73.125,22.28228891061813,.\AssetsSubject1,est,speech.txt
-35,-20.586196248532033,39.375,-9.982074264694589,.\AssetsSubject1,est,speech.txt
-80,-44.96706896415571,-22.5,-27.9899043375679,.\AssetsSubject1,est,speech.txt
0,6.694213588889084,-16.875,-12.300790881523136,.\AssetsSubject1,est,speech.txt
-35,-13.268707760497628,39.375,-10.436830223519788,.\AssetsSubject1,est,speech.txt
-80,-38.139103166761295,-22.5,-15.182882016886154,.\AssetsSubject1,est,speech.txt
-35,-23.744470746572006,39.375,-7.735146633413108,.\AssetsSubject1,est,speech.txt
-35,-12.832859959045962,39.375,-13.138228081134766,.\AssetsSubject1,est,speech.txt
45,47.38868921555556,0,-11.383895154075176,.\AssetsSubject1,est,speech.txt
-80,-28.105934767915798,-22.5,-12.926361302405658,.\AssetsSubject1,est,speech.txt
65,87.05731318741266,73.125,80.09099092912209,.\AssetsSubject1,est,speech.txt
-80,-39.99801194332648,-22.5,-17.97211629108951,.\AssetsSubject1,est,speech.txt
45,31.053586952289372,0,-10.32241376659038,.\AssetsSubject1,est,speech.txt
0,-1.7305928141342637,-16.875,-13.97209781018949,.\AssetsSubject1,est,speech.txt
65,72.50789024653427,73.125,1.2000856634375479,.\AssetsSubject1,est,speech.txt
45,37.215054274507715,0,2.9610430465300777,.\AssetsSubject1,est,speech.txt
65,76.65668196614976,73.125,21.268007408682625,.\AssetsSubject1,est,speech.txt
45,65.79131264282204,0,-17.00037412123895,.\AssetsSubject1,generic,music.txt
0,-10.171593913335926,-16.875,-11.374559542480387,.\AssetsSubject1,generic,music.txt
45,83.11326345210252,0,-35.898422117720024,.\AssetsSubject1,generic,music.txt
0,-13.58743465093483,-16.875,-17.880175895523486,.\AssetsSubject1,generic,music.txt
