subject_id,Set#,hrtf,audio,azi,ele,Location,Trail #,azi_error,azi_error,ele_error,ele_error,Azi,Location 
2,1,generic,speech,65,73.125,E,1,-2.826136677,2.826136677,4.843609515,4.843609515,,
2,1,generic,speech,0,-16.875,C,1,-8.068420084,8.068420084,-69.1568917,69.1568917,,
2,1,generic,speech,45,0,D,1,-1.475571685,1.475571685,-79.07580556,79.07580556,,
2,1,generic,speech,-35,39.375,B,1,1.915785788,1.915785788,-47.30850946,47.30850946,,
2,1,generic,speech,45,0,D,2,-9.645968126,9.645968126,-87.62692808,87.62692808,,
2,1,generic,speech,45,0,D,3,-8.889086265,8.889086265,-86.94452211,86.94452211,,
2,1,generic,speech,-80,-22.5,A,1,-18.05519979,18.05519979,-83.8413551,83.8413551,,
2,1,generic,speech,-80,-22.5,A,2,-20.55575318,20.55575318,-88.76196069,88.76196069,,
2,1,generic,speech,0,-16.875,C,2,-11.43854138,11.43854138,-61.44645534,61.44645534,,
2,1,generic,speech,65,73.125,E,2,-2.572008033,2.572008033,16.63990589,16.63990589,,
2,1,generic,speech,65,73.125,E,3,6.218623916,6.218623916,18.38007348,18.38007348,,
2,1,generic,speech,65,73.125,E,4,4.896846416,4.896846416,20.78452395,20.78452395,,
2,1,generic,speech,0,-16.875,C,3,-1.708164347,1.708164347,-50.47249579,50.47249579,,
2,1,generic,speech,-80,-22.5,A,3,-10.08372755,10.08372755,-93.0578328,93.0578328,,
2,1,generic,speech,0,-16.875,C,4,-3.077733966,3.077733966,-38.93679942,38.93679942,,
2,1,generic,speech,-35,39.375,B,2,2.705043121,2.705043121,-46.33055882,46.33055882,,
2,1,generic,speech,-35,39.375,B,3,5.255278247,5.255278247,-43.42740502,43.42740502,,
2,1,generic,speech,-35,39.375,B,4,4.434251696,4.434251696,-47.15277865,47.15277865,,
2,1,generic,speech,45,0,D,4,-15.08145258,15.08145258,-63.31458977,63.31458977,,
2,1,generic,speech,-80,-22.5,A,4,-44.5743476,44.5743476,-68.17438789,68.17438789,,
3,1,est,music,-80,-22.5,A,1,-18.2086111,18.2086111,-105.8032551,105.8032551,,
3,1,est,music,45,0,D,1,7.798973328,7.798973328,-22.48403871,22.48403871,,
3,1,est,music,65,73.125,E,1,21.24079998,21.24079998,10.00795466,10.00795466,,
3,1,est,music,0,-16.875,C,1,-7.072403219,7.072403219,-13.41816028,13.41816028,,
3,1,est,music,45,0,D,2,14.58208277,14.58208277,-30.51634016,30.51634016,,
3,1,est,music,-35,39.375,B,1,-16.11554036,16.11554036,-7.103348914,7.103348914,,
3,1,est,music,0,-16.875,C,2,18.0049669,18.0049669,-41.15441524,41.15441524,,
3,1,est,music,-80,-22.5,A,2,-19.93218039,19.93218039,-73.40952311,73.40952311,,
3,1,est,music,-35,39.375,B,2,-36.88269402,36.88269402,9.121806608,9.121806608,,
3,1,est,music,65,73.125,E,2,36.58773567,36.58773567,32.15310327,32.15310327,,
3,1,est,music,-80,-22.5,A,3,-33.05729834,33.05729834,-91.61588287,91.61588287,,
3,1,est,music,0,-16.875,C,3,-14.36862967,14.36862967,-34.40949781,34.40949781,,
3,1,est,music,65,73.125,E,3,11.67389909,11.67389909,22.61219775,22.61219775,,
3,1,est,music,45,0,D,3,-1.511221557,1.511221557,0.005082602,0.005082602,,
3,1,est,music,-35,39.375,B,3,-34.806234,34.806234,8.29305131,8.29305131,,
3,1,est,music,45,0,D,4,20.74199387,20.74199387,4.406602817,4.406602817,,
3,1,est,music,-80,-22.5,A,4,-17.94229223,17.94229223,-81.92756166,81.92756166,,
3,1,est,music,0,-16.875,C,4,1.589883336,1.589883336,13.38445304,13.38445304,,
3,1,est,music,-35,39.375,B,4,-29.96854503,29.96854503,17.36614296,17.36614296,,
3,1,est,music,65,73.125,E,4,42.46088255,42.46088255,59.99952948,59.99952948,,
3,1,est,speech,45,0,D,1,-13.17318624,13.17318624,5.37879784,5.37879784,,
3,1,est,speech,0,-16.875,C,1,-13.98481287,13.98481287,-2.513796765,2.513796765,,
3,1,est,speech,65,73.125,E,1,-11.5201824,11.5201824,145.7500364,145.7500364,,
3,1,est,speech,0,-16.875,C,2,-0.90080057,0.90080057,26.61892858,26.61892858,,
3,1,est,speech,-35,39.375,B,1,-28.85790823,28.85790823,49.36560036,49.36560036,,
3,1,est,speech,-80,-22.5,A,1,-55.5281459,55.5281459,-71.81467054,71.81467054,,
3,1,est,speech,-80,-22.5,A,2,-34.88749342,34.88749342,-102.5884666,102.5884666,,
3,1,est,speech,0,-16.875,C,3,-23.60400994,23.60400994,5.971750517,5.971750517,,
3,1,est,speech,-35,39.375,B,2,-38.55330531,38.55330531,30.08598044,30.08598044,,
3,1,est,speech,45,0,D,2,-9.684982064,9.684982064,38.53914222,38.53914222,,
3,1,est,speech,-80,-22.5,A,3,-42.98760511,42.98760511,-81.46122069,81.46122069,,
3,1,est,speech,65,73.125,E,2,2.996848099,2.996848099,113.4347741,113.4347741,,
3,1,est,speech,-80,-22.5,A,4,-27.62134,27.62134,-88.40950954,88.40950954,,
3,1,est,speech,45,0,D,3,13.33733316,13.33733316,22.51140563,22.51140563,,
3,1,est,speech,-35,39.375,B,3,-28.85595903,28.85595903,43.49296709,43.49296709,,
3,1,est,speech,45,0,D,4,4.298601084,4.298601084,23.21054364,23.21054364,,
3,1,est,speech,0,-16.875,C,4,2.678441716,2.678441716,-6.476187019,6.476187019,,
3,1,est,speech,65,73.125,E,3,18.42320881,18.42320881,44.58889584,44.58889584,,
3,1,est,speech,65,73.125,E,4,28.60809407,28.60809407,23.01861146,23.01861146,,
3,1,est,speech,-35,39.375,B,4,-16.49047775,16.49047775,21.91260287,21.91260287,,
3,1,est,noise,-80,-22.5,A,1,-16.12179692,16.12179692,-93.54082961,93.54082961,,
3,1,est,noise,0,-16.875,C,1,19.6242771,19.6242771,-34.0014363,34.0014363,,
3,1,est,noise,-80,-22.5,A,2,-21.45294838,21.45294838,-106.3317817,106.3317817,,
3,1,est,noise,-35,39.375,B,1,-17.06037545,17.06037545,5.896315914,5.896315914,,
3,1,est,noise,-80,-22.5,A,3,-5.950952551,5.950952551,-96.93566243,96.93566243,,
3,1,est,noise,65,73.125,E,1,26.10982269,26.10982269,27.25447621,27.25447621,,
3,1,est,noise,-35,39.375,B,2,-32.1010903,32.1010903,39.08611546,39.08611546,,
3,1,est,noise,45,0,D,1,36.44835483,36.44835483,-13.83224155,13.83224155,,
3,1,est,noise,-35,39.375,B,3,-12.29416964,12.29416964,12.09276143,12.09276143,,
3,1,est,noise,65,73.125,E,2,21.34197964,21.34197964,42.43952329,42.43952329,,
3,1,est,noise,65,73.125,E,3,21.40195236,21.40195236,54.17628677,54.17628677,,
3,1,est,noise,65,73.125,E,4,12.79430993,12.79430993,66.68631271,66.68631271,,
3,1,est,noise,0,-16.875,C,2,6.912783054,6.912783054,-19.05143201,19.05143201,,
3,1,est,noise,-80,-22.5,A,4,-16.89412736,16.89412736,-71.91993001,71.91993001,,
3,1,est,noise,-35,39.375,B,4,-39.74237104,39.74237104,36.41625765,36.41625765,,
3,1,est,noise,0,-16.875,C,3,-28.69951427,28.69951427,-2.044084801,2.044084801,,
3,1,est,noise,0,-16.875,C,4,0.04443803,0.04443803,-9.623389731,9.623389731,,
3,1,est,noise,45,0,D,2,-5.668051435,5.668051435,-1.858234956,1.858234956,,
3,1,est,noise,45,0,D,3,-17.06814887,17.06814887,12.32624147,12.32624147,,
3,1,est,noise,45,0,D,4,7.38012764,7.38012764,15.66422678,15.66422678,,
3,2,generic,speech,65,73.125,E,1,19.87557832,19.87557832,58.79067251,58.79067251,,
3,2,generic,speech,-35,39.375,B,1,-27.42275092,27.42275092,13.82534422,13.82534422,,
3,2,generic,speech,0,-16.875,C,1,-1.04598415,1.04598415,21.27701584,21.27701584,,
3,2,generic,speech,65,73.125,E,2,28.43849002,28.43849002,91.09902318,91.09902318,,
3,2,generic,speech,-35,39.375,B,2,-7.215598437,7.215598437,-13.12988644,13.12988644,,
3,2,generic,speech,45,0,D,1,2.334991639,2.334991639,-43.71611366,43.71611366,,
3,2,generic,speech,65,73.125,E,3,10.8900346,10.8900346,66.90751255,66.90751255,,
3,2,generic,speech,0,-16.875,C,2,1.339631358,1.339631358,5.883310409,5.883310409,,
3,2,generic,speech,45,0,D,2,-8.535586362,8.535586362,-29.73559462,29.73559462,,
3,2,generic,speech,-35,39.375,B,3,-15.24163078,15.24163078,19.04333665,19.04333665,,
3,2,generic,speech,-80,-22.5,A,1,-1.127931249,1.127931249,-44.17772573,44.17772573,,
3,2,generic,speech,45,0,D,3,9.437600658,9.437600658,-14.5996954,14.5996954,,
3,2,generic,speech,45,0,D,4,9.832276347,9.832276347,-21.28009516,21.28009516,,
3,2,generic,speech,-80,-22.5,A,2,-0.377641698,0.377641698,-30.03522231,30.03522231,,
3,2,generic,speech,-80,-22.5,A,3,4.852134801,4.852134801,-105.7501286,105.7501286,,
3,2,generic,speech,-35,39.375,B,4,-19.09497199,19.09497199,24.26674383,24.26674383,,
3,2,generic,speech,-80,-22.5,A,4,0.738919686,0.738919686,-67.23476606,67.23476606,,
3,2,generic,speech,0,-16.875,C,3,-0.355800079,0.355800079,-8.2053464,8.2053464,,
3,2,generic,speech,0,-16.875,C,4,-4.098946055,4.098946055,-31.04455987,31.04455987,,
3,2,generic,speech,65,73.125,E,4,39.30922845,39.30922845,56.8675953,56.8675953,,
3,2,generic,noise,45,0,D,1,16.28869231,16.28869231,-34.3963919,34.3963919,,
3,2,generic,noise,45,0,D,2,23.33153021,23.33153021,-32.66523431,32.66523431,,
3,2,generic,noise,0,-16.875,C,1,-7.503097979,7.503097979,-8.980106045,8.980106045,,
